到期月份,日期,期貨代碼,成交價,成交量
202307,2023-06-27 00:00:06,TX,16863,2
202307,2023-06-27 00:00:06,TX,16862,2
202307,2023-06-27 00:00:06,TX,16862,2
202307,2023-06-27 00:00:06,TX,16862,2
202307,2023-06-27 00:00:06,TX,16862,2
202307,2023-06-27 00:00:06,TX,16861,2
202307,2023-06-27 00:00:06,TX,16861,2
202307,2023-06-27 00:00:07,TX,16862,2
202307,2023-06-27 00:00:07,TX,16861,2
202307,2023-06-27 00:00:07,TX,16861,2
202307,2023-06-27 00:00:07,TX,16861,4
202307,2023-06-27 00:00:07,TX,16861,2
202307,2023-06-27 00:00:07,TX,16861,2
202307,2023-06-27 00:00:08,TX,16861,2
202307,2023-06-27 00:00:14,TX,16860,2
202307,2023-06-27 00:00:17,TX,16861,4
202307,2023-06-27 00:00:30,TX,16863,30
202308,2023-06-27 00:00:42,TX,16825,2
202307,2023-06-27 00:00:45,TX,16864,2
202307,2023-06-27 00:00:45,TX,16864,2
202307,2023-06-27 00:00:45,TX,16864,2
202307,2023-06-27 00:00:45,TX,16864,4
202307,2023-06-27 00:00:45,TX,16864,2
202307,2023-06-27 00:00:45,TX,16864,2
202307,2023-06-27 00:00:46,TX,16864,2
202307,2023-06-27 00:00:55,TX,16863,2
202307,2023-06-27 00:01:04,TX,16863,4
202307,2023-06-27 00:01:04,TX,16863,4
202307,2023-06-27 00:01:04,TX,16863,2
202307,2023-06-27 00:01:04,TX,16864,2
202307,2023-06-27 00:01:09,TX,16863,2
202307,2023-06-27 00:01:10,TX,16863,2
202307,2023-06-27 00:01:14,TX,16863,2
202307,2023-06-27 00:01:14,TX,16863,2
202307,2023-06-27 00:01:21,TX,16862,4
202307,2023-06-27 00:01:21,TX,16861,2
202307,2023-06-27 00:01:21,TX,16861,2
202307,2023-06-27 00:01:21,TX,16861,2
202307,2023-06-27 00:01:22,TX,16862,2
202307,2023-06-27 00:01:23,TX,16862,4
202307,2023-06-27 00:01:24,TX,16861,2
202307,2023-06-27 00:01:26,TX,16860,2
202307,2023-06-27 00:01:26,TX,16860,2
202307,2023-06-27 00:01:26,TX,16860,2
202307,2023-06-27 00:01:26,TX,16860,2
202307,2023-06-27 00:01:26,TX,16860,2
202307,2023-06-27 00:01:26,TX,16860,2
